episode_id,mode,topic,topic_trigger,trigger_type,human_utterance_count,robot_utterance_count,early_termination,was_perfect_from_start,final_stable,final_perfect,final_unstable_triads,final_isolated_nodes,duration_seconds,stability_rate,perfection_rate,isolation_occurrence_rate,first_stable_utterance,first_perfect_utterance,robot_interventions_until_first_stable,robot_interventions_until_first_perfect,oscillation_count,consecutive_unstable_max,avg_edge_score,avg_positive_ratio,intervention_success_rate,intervention_reversal_rate,avg_improvement_per_intervention,intervention_frequency,stable_rate_per_intervention,perfect_rate_per_intervention,interventions_per_stable,interventions_per_perfect
1,few_utterances,服装で第一印象はどれほど変わるか,外見,all_common,45,15,False,False,False,False,1,3,66.868343,0.4666666666666667,0.0,0.9333333333333333,9,0,2,0,2,6,-0.43990114910897404,0.17777777777777776,0.0,0.0,0.0,0.3333333333333333,0.4666666666666667,0.0,2,0.0
1,proposal,服装で第一印象はどれほど変わるか,外見,all_common,18,4,True,False,True,True,0,0,24.921313,0.7333333333333333,0.7333333333333333,0.0,15,15,4,4,1,3,0.18144147871897465,0.7222222222222222,1.0,0.25,0.22361760650951554,0.2222222222222222,2.75,2.75,4,4
1,random_target,服装で第一印象はどれほど変わるか,外見,all_common,33,14,True,False,True,True,0,0,38.633344,0.5333333333333333,0.4,0.18181818181818182,24,30,7,9,1,6,0.11151907151920164,0.6363636363636362,0.0,0.0,0.0,0.42424242424242425,0.5714285714285714,0.42857142857142855,7,9
2,few_utterances,ゲーム開発におけるAIの活用,ゲーム,two_person,21,14,True,False,True,True,0,0,28.981059,0.6666666666666666,0.6666666666666666,0.0,18,18,5,5,1,4,0.2602164353763444,0.7619047619047619,0.0,0.0,0.0,0.6666666666666666,0.7142857142857143,0.7142857142857143,5,5
2,proposal,ゲーム開発におけるAIの活用,ゲーム,two_person,15,3,True,False,True,True,0,0,17.589794,0.8,0.8,0.0,12,12,3,3,1,2,0.30436487094837933,0.8,1.0,0.3333333333333333,0.3235294117647059,0.2,4.0,4.0,3,3
2,random_target,ゲーム開発におけるAIの活用,ゲーム,two_person,27,14,True,False,True,True,0,0,31.741389,0.5333333333333333,0.5333333333333333,0.0,24,24,7,7,1,6,0.19822246619522443,0.7407407407407407,0.0,0.0,0.0,0.5185185185185185,0.5714285714285714,0.5714285714285714,7,7
3,few_utterances,生成AIと著作権の関係,法律・権利,all_common,21,14,True,False,True,True,0,0,34.801956,0.8666666666666667,0.6666666666666666,0.42857142857142855,3,18,0,5,4,1,0.24953490248450963,0.619047619047619,0.0,0.0,0.0,0.6666666666666666,0.9285714285714286,0.7142857142857143,0,5
3,proposal,生成AIと著作権の関係,法律・権利,all_common,42,11,True,False,True,True,0,0,70.293471,0.9333333333333333,0.26666666666666666,0.7142857142857143,3,24,0,7,2,1,0.049634788767151564,0.49999999999999994,0.7272727272727273,0.2727272727272727,0.09883923455884619,0.2619047619047619,1.2727272727272727,0.36363636363636365,0,7
3,random_target,生成AIと著作権の関係,法律・権利,all_common,12,14,True,False,True,True,0,0,14.443696,1.0,0.8666666666666667,0.5,3,9,0,2,0,0,0.20688963085234094,0.6666666666666666,0.0,0.0,0.0,1.1666666666666667,1.0714285714285714,0.9285714285714286,0,2
4,few_utterances,韓国ドラマの社会的影響,ドラマ,two_person,39,14,True,False,True,True,0,0,66.826855,0.26666666666666666,0.26666666666666666,0.0,36,36,11,11,1,10,0.09819463123676894,0.6666666666666667,0.0,0.0,0.0,0.358974358974359,0.2857142857142857,0.2857142857142857,11,11
4,proposal,韓国ドラマの社会的影響,ドラマ,two_person,15,3,True,False,True,True,0,0,21.715206,0.8,0.8,0.0,12,12,3,3,1,2,0.24177940477661658,0.6666666666666666,1.0,0.3333333333333333,0.43014705882352944,0.2,4.0,4.0,3,3
4,random_target,韓国ドラマの社会的影響,ドラマ,two_person,21,14,True,False,True,True,0,0,26.998113,0.6666666666666666,0.6666666666666666,0.0,18,18,5,5,1,4,0.14439840515170932,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.7142857142857143,0.7142857142857143,5,5
5,few_utterances,家族旅行の思い出と次の計画,家族,all_common,9,14,True,False,True,True,0,0,9.675325,1.0,0.9333333333333333,0.3333333333333333,3,6,0,1,0,0,0.1830498866213152,0.7777777777777777,0.0,0.0,0.0,1.5555555555555556,1.0714285714285714,1.0,0,1
5,proposal,家族旅行の思い出と次の計画,家族,all_common,45,15,False,False,False,False,1,0,68.399113,0.13333333333333333,0.0,0.9333333333333333,3,0,0,0,1,13,-0.4400515440099155,0.08888888888888888,0.2857142857142857,0.07142857142857142,0.006476610047905645,0.3333333333333333,0.13333333333333333,0.0,0,0.0
5,random_target,家族旅行の思い出と次の計画,家族,all_common,45,15,False,False,True,False,0,1,52.703762,0.13333333333333333,0.0,1.0,3,0,0,0,2,9,-0.40120172800227877,0.04444444444444444,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0,0.0
